College Name,URL,Acceptance Rate,Regular Application Due,SAT Range,ACT Range,High School GPA,High School Rank,SAT/ACT Scores,Recommendations,Application Fee,Application Types Accepted,Graduation Rate,Majors Available,Student to Faculty Ratio,Retention Rate,Majors and Degrees,Setting,Undergraduate Students,Average per Year for Campus Housing,Sports,First Years in College Housing,Housing Options,Activities,Student Body
California State University Dominguez Hills,https://bigfuture.collegeboard.org/colleges/california-state-university-dominguez-hills,89%,Not available,790–930*,15–15*,Considered but not required,Neither required nor recommended,Not available,Neither required nor recommended,,,53%,79,,71%,"The college offers the following degrees: Bachelor's, Certificate, and Master's",Suburban,"13,318",,"Club, Intercollegiate, Intramural and NCAA Division II",,Apartments For Single StudentsCoed HousingSpecial Housing For Disabled Students,Army ROTCChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMusic EnsemblesMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperTelevision Station,"Total Undergrad Students13,318Total Graduate Students1,714Full-Time Students9,989Part-Time Students3,435Race and EthnicityBlack or African American11%Asian7%Hispanic or Latino68%Multiracial2%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White5%International (Non-Citizen)4%Student Primary ResidenceOut-of-StateNot Reported"
California State University Stanislaus,https://bigfuture.collegeboard.org/colleges/california-state-university-stanislaus,93%,Not available,900–1080*,15–20*,Required,Recommended,Required for some,Neither required nor recommended,,Online through college's own website,58%,46,,81%,"The college offers the following degrees: Bachelor's, Master's, Certificate, and Doctoral",Suburban,"8,836",,"Intercollegiate, Intramural and NCAA Division II",,Apartments For Single StudentsCoed HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsTheme Housing,Campus MinistriesChoral GroupsDrama/TheaterFilmInternational Student OrganizationLiterary MagazineModel UNMusic EnsemblesOperaRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students8,836Total Graduate Students1,228Full-Time Students6,938Part-Time Students1,969Race and EthnicityBlack or African American2%Asian9%Hispanic or Latino63%Multiracial2%Native AmericanLess than 1%Pacific Islander1%Unknown4%White18%International (Non-Citizen)1%Student Primary ResidenceOut-of-State1%"
Bossier Parish Community College,https://bigfuture.collegeboard.org/colleges/bossier-parish-community-college,98%,Not available,400–500*,15–20*,Neither required nor recommended,Neither required nor recommended,Not available,Neither required nor recommended,,Online through college's own website,Not available,44,,15%,The college offers the following degrees: Certificate and Associate,Suburban,"5,570",,"Club, Intercollegiate and Intramural",,,Campus MinistriesConcert BandDanceDrama/TheaterFilmInternational Student OrganizationLiterary MagazineMusic EnsemblesMusical TheaterStudent Government,"Total Undergrad Students5,570Total Graduate StudentsNot availableFull-Time Students3,282Part-Time Students2,296Race and EthnicityBlack or African American41%AsianLess than 1%Hispanic or Latino2%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White50%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State3%"
Marshall University,https://bigfuture.collegeboard.org/colleges/marshall-university,96%,Not available,930–1150*,Not available*,Required,Neither required nor recommended,Required,Considered but not required,,Online through college's own websiteCommon Application,53%,81,,78%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Urban,"7,158",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IA",,Coed HousingSpecial Housing For Disabled StudentsTheme HousingWomen's Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision Station,"Total Undergrad Students7,158Total Graduate Students3,017Full-Time Students6,539Part-Time Students1,675Race and EthnicityBlack or African American6%Asian2%Hispanic or Latino3%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown7%White78%International (Non-Citizen)1%Student Primary ResidenceOut-of-State22%"
Brigham Young University Idaho,https://bigfuture.collegeboard.org/colleges/brigham-young-university-idaho,97%,Not available,990–1200*,Not available*,Recommended,Neither required nor recommended,Required,Required,,Online through college's own website,46%,161,,67%,The college offers the following degrees: Associate and Bachelor's,Rural,Not available,,Intramural,,Apartments For Married StudentsApartments For Single StudentsSpecial Housing For Disabled StudentsWellness Housing (alcohol/drug/smoke-free),Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesMusical TheaterOperaRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad StudentsNot availableTotal Graduate StudentsNot availableFull-Time Students18,332Part-Time StudentsNot availableRace and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-StateNot Reported"
University Of Maine At Presque Isle,https://bigfuture.collegeboard.org/colleges/university-of-maine-at-presque-isle,100%,Not available,840–1140*,Not available*,Recommended,Considered but not required,Considered if submitted,Recommended,,Online through college's own websiteCommon Application,35%,28,,67%,"The college offers the following degrees: Certificate, Associate, Bachelor's, and Master's",Rural,983,,"Club, Intercollegiate, Intramural and NCAA Division III",,Coed HousingSpecial Housing For Disabled Students,Campus MinistriesChoral GroupsDanceInternational Student OrganizationLiterary MagazineRadio StationStudent GovernmentStudent Newspaper,Total Undergrad Students983Total Graduate Students17Full-Time Students743Part-Time Students783Race and EthnicityBlack or African American3%Asian1%Hispanic or Latino4%Multiracial4%Native American1%Pacific IslanderLess than 1%Unknown3%White77%International (Non-Citizen)7%Student Primary ResidenceOut-of-State18%
Wright State University Lake Campus,https://bigfuture.collegeboard.org/colleges/wright-state-university-lake-campus,100%,Not available,790–890*,Not available*,Required,Neither required nor recommended,Considered if submitted,Considered but not required,,,33%,119,,65%,"The college offers the following degrees: Certificate, Associate, and Bachelor's",Rural,984,,Intercollegiate,,Apartments For Single StudentsCoed Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsModel UNMusic EnsemblesStudent Newspaper,Total Undergrad Students984Total Graduate Students9Full-Time Students657Part-Time Students728Race and EthnicityBlack or African American5%Asian1%Hispanic or Latino2%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%UnknownLess than 1%White88%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State1%
Baptist College Of Florida,https://bigfuture.collegeboard.org/colleges/baptist-college-of-florida,94%,August 12,920–1260*,17–23*,Recommended,Neither required nor recommended,Required,Required,,Online through college's own website,53%,13,,77%,"The college offers the following degrees: Associate, Bachelor's, Master's, and Certificate",Rural,239,,Intramural,,Apartments For Married StudentsMen's HousingSpecial Housing For Disabled StudentsWomen's Housing,Campus MinistriesChoral GroupsConcert BandJazz BandMusic Ensembles,Total Undergrad Students239Total Graduate Students29Full-Time Students186Part-Time Students208Race and EthnicityBlack or African American7%Asian3%Hispanic or Latino2%Multiracial4%Native American1%Pacific IslanderLess than 1%Unknown9%White75%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State29%
Northeastern State University,https://bigfuture.collegeboard.org/colleges/northeastern-state-university,99%,Not available,878–1085*,Not available*,Required,Required,Required,Neither required nor recommended,,Online through college's own website,39%,71,,63%,"The college offers the following degrees: Certificate, Master's, Bachelor's, and Doctoral",Rural,"4,896",,"Club, Intercollegiate, Intramural and NCAA Division II",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingSpecial Housing For Disabled StudentsTheme HousingWomen's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterNaval ROTCPep BandStudent GovernmentSymphony OrchestraTelevision Station,"Total Undergrad Students4,896Total Graduate Students1,413Full-Time Students3,561Part-Time Students1,424Race and EthnicityBlack or African American4%Asian2%Hispanic or Latino8%Multiracial15%Native American23%Pacific IslanderLess than 1%Unknown2%White43%International (Non-Citizen)2%Student Primary ResidenceOut-of-State5%"
University Of Puerto Rico Aguadilla,https://bigfuture.collegeboard.org/colleges/university-of-puerto-rico-aguadilla,82%,Not available,868–1078*,Not available*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Other,43%,32,,76%,"The college offers the following degrees: Associate, Bachelor's, and Certificate",Suburban,"1,851",,Intercollegiate and Intramural,,,Army ROTCCampus MinistriesChoral GroupsDanceMusical TheaterPep Band,"Total Undergrad Students1,851Total Graduate Students1,898Full-Time Students484Part-Time Students128Race and EthnicityBlack or African AmericanLess than 1%AsianNot ReportedHispanic or Latino98%Multiracial1%Native AmericanNot ReportedPacific IslanderLess than 1%UnknownLess than 1%White1%International (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-StateNot Reported"
Edp University Of Puerto Rico San Sebastian,https://bigfuture.collegeboard.org/colleges/edp-university-of-puerto-rico-san-sebastian,95%,Not available,Not available*,Not available*,Considered but not required,Recommended,Not available,Considered but not required,,Common ApplicationOnline through college's own website,100%,13,,73%,"The college offers the following degrees: Associate, Bachelor's, and Master's",Suburban,968,,Intercollegiate,,,Music EnsemblesMusical Theater,Total Undergrad Students968Total Graduate Students37Full-Time Students481Part-Time Students487Race and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or Latino100%MultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-State38%
Fairmont State University,https://bigfuture.collegeboard.org/colleges/fairmont-state-university,99%,Not available,900–1090*,Not available*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Online through college's own website,46%,41,,61%,"The college offers the following degrees: Associate, Bachelor's, and Master's",Suburban,Not available,,"Intercollegiate, Intramural and NCAA Division II",,Apartments For Married StudentsApartments For Single StudentsCoed HousingMen's HousingWomen's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusical TheaterOperaRadio StationStudent NewspaperSymphony Orchestra,"Total Undergrad StudentsNot availableTotal Graduate Students298Full-Time Students3,270Part-Time StudentsNot availableRace and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-State13%"
Mississippi University For Women,https://bigfuture.collegeboard.org/colleges/mississippi-university-for-women,99%,Not available,850–1180*,Not available*,Required,Required,Considered if submitted,Considered but not required,,Online through college's own website,45%,35,,75%,"The college offers the following degrees: Associate, Bachelor's, Master's, Certificate, and Doctoral",Suburban,Not available,,Intramural,,Apartments For Married StudentsMen's HousingWellness Housing (alcohol/drug/smoke-free)Women's Housing,Air Force ROTCArmy ROTCCampus MinistriesDanceDrama/TheaterInternational Student OrganizationLiterary MagazineMusic EnsemblesMusical TheaterOperaSymphony Orchestra,"Total Undergrad StudentsNot availableTotal Graduate StudentsNot availableFull-Time Students2,114Part-Time StudentsNot availableRace and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-State10%"
University Of North Texas At Dallas,https://bigfuture.collegeboard.org/colleges/university-of-north-texas-at-dallas,90%,Not available,860–1020*,Not available*,Required,Considered but not required,Required,Considered but not required,,Online through college's own website,37%,18,,70%,"The college offers the following degrees: Bachelor's, Master's, Certificate, and Doctoral",Suburban,Not available,,Not available,,,,"Total Undergrad StudentsNot availableTotal Graduate Students751Full-Time Students1,824Part-Time StudentsNot availableRace and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-State1%"
University Of Mississippi,https://bigfuture.collegeboard.org/colleges/university-of-mississippi,98%,Not available,1025–1225*,Not available*,Recommended,Considered but not required,Required for some,Neither required nor recommended,,Online through college's own websiteCommon Application,68%,114,,87%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Rural,"18,995",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IA",,Apartments For Single StudentsFraternity/Sorority HousingLiving Learning CommunitiesMen's HousingSpecial Housing For International StudentsTheme HousingWomen's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandMarching BandMusic EnsemblesNaval ROTCOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision StationYearbook,"Total Undergrad Students18,995Total Graduate Students4,949Full-Time Students17,957Part-Time Students1,062Race and EthnicityBlack or African American10%Asian2%Hispanic or Latino5%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%UnknownLess than 1%White78%International (Non-Citizen)1%Student Primary ResidenceOut-of-State69%"
Michigan State University,https://bigfuture.collegeboard.org/colleges/michigan-state-university,84%,Not available,1100–1320*,Not available*,Required,Considered but not required,Considered if submitted,Considered but not required,,,82%,237,,91%,"The college offers the following degrees: Certificate, Bachelor's, Master's, and Doctoral",Suburban,"40,243",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IA",,Apartments For Married StudentsApartments For Single StudentsCoed HousingCooperative HousingFraternity/Sorority HousingSpecial Housing For Disabled StudentsSpecial Housing For International StudentsTheme HousingWomen's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision StationYearbook,"Total Undergrad Students40,243Total Graduate Students10,833Full-Time Students37,367Part-Time Students2,991Race and EthnicityBlack or African American7%Asian8%Hispanic or Latino6%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White67%International (Non-Citizen)5%Student Primary ResidenceOut-of-State19%"
University Of The Virgin Islands,https://bigfuture.collegeboard.org/colleges/university-of-the-virgin-islands,97%,Not available,830–1030*,Not available*,Recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,,Online through college's own websiteCommon Black College Application,32%,34,,76%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Suburban,"1,431",,Club and Intercollegiate,,Coed HousingMen's HousingWomen's Housing,Army ROTCConcert BandDanceDrama/TheaterJazz BandLiterary MagazineMusic EnsemblesRadio StationStudent GovernmentStudent Newspaper,"Total Undergrad Students1,431Total Graduate Students231Full-Time Students1,013Part-Time Students494Race and EthnicityBlack or African American69%Asian1%Hispanic or Latino15%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White5%International (Non-Citizen)6%Student Primary ResidenceOut-of-State6%"
Bethune Cookman University,https://bigfuture.collegeboard.org/colleges/bethune-cookman-university,100%,Not available,820–990*,Not available*,Required,Considered but not required,Recommended,Considered but not required,,Online through college's own websiteCommon Black College Application,32%,40,,51%,"The college offers the following degrees: Bachelor's, Master's, and Certificate",Urban,"2,415",,"Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Coed HousingMen's HousingTheme HousingWomen's Housing,Air Force ROTCChoral GroupsConcert BandDrama/TheaterInternational Student OrganizationMarching BandMusic EnsemblesStudent Government,"Total Undergrad Students2,415Total Graduate Students101Full-Time Students2,337Part-Time Students78Race and EthnicityBlack or African American58%AsianLess than 1%Hispanic or Latino3%Multiracial2%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown34%White1%International (Non-Citizen)2%Student Primary ResidenceOut-of-State18%"
Lemoyne Owen College,https://bigfuture.collegeboard.org/colleges/lemoyne-owen-college,98%,Not available,898–1093*,Not available*,Required,Required,Required,Recommended,,Online through college's own websiteCommon Black College Application,18%,24,,53%,The college offers the following degrees: Associate and Bachelor's,Urban,Not available,,"Intercollegiate, Intramural and NCAA Division II",,Coed HousingMen's HousingSpecial Housing For Disabled StudentsWomen's Housing,Air Force ROTCArmy ROTCCampus MinistriesConcert BandDanceFilmLiterary MagazineMusical TheaterOperaStudent NewspaperSymphony Orchestra,Total Undergrad StudentsNot availableTotal Graduate StudentsNot availableFull-Time Students761Part-Time StudentsNot availableRace and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-StateNot Reported
Southern West Virginia Community And Technical College,https://bigfuture.collegeboard.org/colleges/southern-west-virginia-community-and-technical-college,100%,Not available,820–1010*,16–21*,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,,Online through college's own website,Not available,27,,51%,The college offers the following degrees: Certificate and Associate,Rural,"1,338",,Not available,,,Literary MagazineStudent Government,"Total Undergrad Students1,338Total Graduate StudentsNot availableFull-Time Students1,036Part-Time Students434Race and EthnicityBlack or African American1%AsianNot ReportedHispanic or LatinoNot ReportedMultiracial1%Native AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhite98%International (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-State6%"
Concord University,https://bigfuture.collegeboard.org/colleges/concord-university,90%,Not available,890–1130*,Not available*,Required,Neither required nor recommended,Recommended,Neither required nor recommended,,Online through college's own website,42%,70,,49%,The college offers the following degrees: Bachelor's and Master's,Rural,"1,394",,"Club, Intercollegiate, Intramural and NCAA Division II",,Coed HousingMen's HousingSpecial Housing For International StudentsWomen's Housing,Campus MinistriesChoral GroupsConcert BandDrama/TheaterFilmInternational Student OrganizationMarching BandMusic EnsemblesMusical TheaterRadio StationStudent GovernmentTelevision Station,"Total Undergrad Students1,394Total Graduate Students326Full-Time Students1,334Part-Time Students133Race and EthnicityBlack or African American8%Asian1%Hispanic or Latino1%Multiracial5%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White80%International (Non-Citizen)4%Student Primary ResidenceOut-of-State20%"
Shepherd University,https://bigfuture.collegeboard.org/colleges/shepherd-university,96%,August 1,960–1160*,19–26*,Required,Considered but not required,Recommended,Considered but not required,,Online through college's own websiteCommon Application,44%,48,,71%,"The college offers the following degrees: Bachelor's, Master's, and Doctoral",Rural,"2,631",,"Intercollegiate, Intramural and NCAA Division II",,Apartments For Single StudentsCoed HousingGender Neutral HousingSpecial Housing For Disabled StudentsSpecial Housing For International Students,Air Force ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesMusical TheaterOperaRadio StationSymphony OrchestraTelevision Station,"Total Undergrad Students2,631Total Graduate Students354Full-Time Students2,354Part-Time Students277Race and EthnicityBlack or African American8%Asian1%Hispanic or Latino7%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White75%International (Non-Citizen)1%Student Primary ResidenceOut-of-State39%"
Indiana University Kokomo,https://bigfuture.collegeboard.org/colleges/indiana-university-kokomo,85%,Not available,1000–1180*,Not available*,Recommended,Required,Required for some,Neither required nor recommended,,Online through college's own websiteCommon Application,43%,45,,67%,"The college offers the following degrees: Certificate, Associate, Bachelor's, and Master's",Suburban,"2,308",,Intercollegiate,,,Campus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationLiterary MagazineModel UNMusic EnsemblesMusical TheaterOperaStudent GovernmentStudent Newspaper,"Total Undergrad Students2,308Total Graduate Students218Full-Time Students1,920Part-Time Students749Race and EthnicityBlack or African American5%Asian1%Hispanic or Latino11%Multiracial5%Native AmericanLess than 1%Pacific IslanderLess than 1%UnknownLess than 1%White77%International (Non-Citizen)1%Student Primary ResidenceOut-of-State2%"
Appalachian Bible College,https://bigfuture.collegeboard.org/colleges/appalachian-bible-college,99%,Not available,1035–1190*,Not available*,Recommended,Neither required nor recommended,Required,Recommended,,Online through college's own website,71%,2,,85%,"The college offers the following degrees: Certificate, Associate, Bachelor's, and Master's",Rural,168,,Intercollegiate and Intramural,,Apartments For Married StudentsMen's HousingWellness Housing (alcohol/drug/smoke-free)Women's Housing,Campus MinistriesChoral GroupsDrama/TheaterMusic EnsemblesStudent Government,Total Undergrad Students168Total Graduate Students3Full-Time Students159Part-Time Students56Race and EthnicityBlack or African American3%AsianLess than 1%Hispanic or Latino1%MultiracialLess than 1%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White92%International (Non-Citizen)4%Student Primary ResidenceOut-of-State73%
Missouri Southern State University,https://bigfuture.collegeboard.org/colleges/missouri-southern-state-university,97%,Not available,950–1170*,Not available*,Required,Required,Considered if submitted,Neither required nor recommended,,Online through college's own website,36%,53,,70%,"The college offers the following degrees: Certificate, Associate, Bachelor's, and Master's",Rural,"3,101",,"Club, Intercollegiate, Intramural and NCAA Division II",,Apartments For Single StudentsCoed HousingMen's HousingSpecial Housing For Disabled StudentsWomen's Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperTelevision Station,"Total Undergrad Students3,101Total Graduate Students160Full-Time Students2,525Part-Time Students1,336Race and EthnicityBlack or African American7%Asian3%Hispanic or Latino9%Multiracial1%Native American4%Pacific Islander1%Unknown2%White69%International (Non-Citizen)3%Student Primary ResidenceOut-of-State29%"
Central State University,https://bigfuture.collegeboard.org/colleges/central-state-university,96%,Not available,770–950*,Not available*,Required,Recommended,Considered if submitted,Considered but not required,,Online through college's own websiteCommon Black College Application,23%,41,,41%,"The college offers the following degrees: Bachelor's, Certificate, and Master's",Rural,"3,412",,"Intercollegiate, Intramural and NCAA Division II",,Apartments For Married StudentsApartments For Single StudentsCoed HousingMen's HousingWomen's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterJazz BandMusic EnsemblesOperaPep BandRadio StationStudent GovernmentStudent NewspaperTelevision Station,"Total Undergrad Students3,412Total Graduate Students25Full-Time Students2,408Part-Time Students1,015Race and EthnicityBlack or African American49%Asian2%Hispanic or Latino9%Multiracial5%Native AmericanLess than 1%Pacific IslanderNot ReportedUnknown12%White18%International (Non-Citizen)5%Student Primary ResidenceOut-of-State48%"
