College Name,URL,Acceptance Rate,Regular Application Due,SAT Range,ACT Range,High School GPA,High School Rank,SAT/ACT Scores,Recommendations,Application Fee,Application Types Accepted,Graduation Rate,Majors Available,Student to Faculty Ratio,Retention Rate,Majors and Degrees,Setting,Undergraduate Students,Average per Year for Campus Housing,Sports,First Years in College Housing,Housing Options,Activities,Student Body
Murray State University,https://bigfuture.collegeboard.org/colleges/murray-state-university,86%,Not available,960–1200*,Not available*,Required,Required,Required for some,Neither required nor recommended,,,56%,84,,76%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Rural,"6,847",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingSpecial Housing For Disabled StudentsWellness Housing (alcohol/drug/smoke-free)Women's Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students6,847Total Graduate Students1,746Full-Time Students6,072Part-Time Students1,996Race and EthnicityBlack or African American6%Asian1%Hispanic or Latino3%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown4%White77%International (Non-Citizen)6%Student Primary ResidenceOut-of-State38%"
Bridgewater State University,https://bigfuture.collegeboard.org/colleges/bridgewater-state-university,89%,Not available,1010–1200*,Not available*,Required,Neither required nor recommended,Considered if submitted,Considered but not required,,Online through college's own websiteCommon Application,62%,62,,67%,"The college offers the following degrees: Bachelor's, Certificate, and Master's",Suburban,"7,899",,"Club, Intercollegiate, Intramural and NCAA Division III",,Apartments For Single StudentsCoed HousingGender Neutral HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsSpecial Housing For International StudentsTheme Housing,Air Force ROTCArmy ROTCCampus MinistriesDanceDrama/TheaterMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperTelevision Station,"Total Undergrad Students7,899Total Graduate Students1,378Full-Time Students6,546Part-Time Students1,586Race and EthnicityBlack or African American11%Asian2%Hispanic or Latino10%Multiracial7%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White69%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State9%"
Louisiana State University In Shreveport,https://bigfuture.collegeboard.org/colleges/louisiana-state-university-in-shreveport,83%,Not available,870–1070*,Not available*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Online through college's own website,38%,29,,62%,"The college offers the following degrees: Bachelor's, Master's, Certificate, and Doctoral",Urban,"2,150",,"Club, Intercollegiate and Intramural",,Apartments For Single Students,Campus MinistriesDanceDrama/TheaterInternational Student OrganizationLiterary MagazineRadio StationStudent GovernmentStudent Newspaper,"Total Undergrad Students2,150Total Graduate Students7,188Full-Time Students1,598Part-Time Students949Race and EthnicityBlack or African American25%Asian2%Hispanic or Latino1%Multiracial6%Native American1%Pacific IslanderLess than 1%Unknown5%White57%International (Non-Citizen)4%Student Primary ResidenceOut-of-State3%"
Southern Illinois University Edwardsville,https://bigfuture.collegeboard.org/colleges/southern-illinois-university-edwardsville,98%,May 1,940–1160*,19–26*,Required,Considered but not required,Considered if submitted,Neither required nor recommended,,Online through college's own website,49%,61,,71%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Suburban,"9,283",,"Club, Intercollegiate, Intramural and NCAA Division I",,Apartments For Married StudentsApartments For Single StudentsCoed HousingGender Neutral HousingSpecial Housing For Disabled Students,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandMarching BandMusic EnsemblesMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students9,283Total Graduate Students3,198Full-Time Students7,693Part-Time Students1,612Race and EthnicityBlack or African American14%Asian2%Hispanic or Latino6%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White69%International (Non-Citizen)2%Student Primary ResidenceOut-of-State17%"
Nicholls State University,https://bigfuture.collegeboard.org/colleges/nicholls-state-university,97%,Not available,1038–1228*,Not available*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Online through college's own website,49%,46,,70%,"The college offers the following degrees: Associate, Bachelor's, Certificate, and Master's",Rural,"5,194",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Married StudentsApartments For Single StudentsCoed Housing,Campus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesPep BandRadio StationStudent GovernmentStudent NewspaperTelevision StationYearbook,"Total Undergrad Students5,194Total Graduate Students660Full-Time Students4,575Part-Time Students997Race and EthnicityBlack or African American17%Asian1%Hispanic or Latino5%Multiracial2%Native American2%Pacific IslanderLess than 1%Unknown1%White68%International (Non-Citizen)2%Student Primary ResidenceOut-of-State5%"
Appalachian State University,https://bigfuture.collegeboard.org/colleges/appalachian-state-university,89%,Not available,1130–1300*,Not available*,Required,Required,Required for some,Neither required nor recommended,,,73%,89,,85%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Rural,"19,304",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IA",,Apartments For Single StudentsCoed HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsTheme HousingWomen's Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision Station,"Total Undergrad Students19,304Total Graduate Students1,848Full-Time Students18,607Part-Time Students734Race and EthnicityBlack or African American3%Asian2%Hispanic or Latino9%Multiracial5%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White81%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State13%"
Worcester State University,https://bigfuture.collegeboard.org/colleges/worcester-state-university,90%,Not available,1030–1193*,Not available*,Required,Neither required nor recommended,Considered if submitted,Considered but not required,,Common ApplicationOnline through college's own websiteOther,61%,47,,77%,"The college offers the following degrees: Bachelor's, Certificate, and Master's",Urban,"3,963",,"Club, Intercollegiate, Intramural and NCAA Division III",,Apartments For Single StudentsCoed HousingSpecial Housing For Disabled StudentsTheme Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsDanceDrama/TheaterInternational Student OrganizationLiterary MagazineModel UNNaval ROTCRadio StationStudent Government,"Total Undergrad Students3,963Total Graduate Students877Full-Time Students3,354Part-Time Students1,375Race and EthnicityBlack or African American9%Asian6%Hispanic or Latino18%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White61%International (Non-Citizen)2%Student Primary ResidenceOut-of-State6%"
Highland Community College Freeport Il,https://bigfuture.collegeboard.org/colleges/highland-community-college-freeport-il,100%,Not available,880–1080*,19–27*,Not available,Not available,Not available,Not available,,Online through college's own website,Not available,38,,64%,The college offers the following degrees: Certificate and Associate,Rural,791,,Intercollegiate and Intramural,,,Campus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMusic EnsemblesMusical TheaterPep BandStudent Government,Total Undergrad Students791Total Graduate StudentsNot availableFull-Time Students461Part-Time Students662Race and EthnicityBlack or African American12%Asian1%Hispanic or Latino6%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White73%International (Non-Citizen)2%Student Primary ResidenceOut-of-State2%
West Texas Am University,https://bigfuture.collegeboard.org/colleges/west-texas-am-university,97%,Not available,980–1188*,Not available*,Required,Required,Considered if submitted,Considered but not required,,Online through college's own websiteOther,46%,102,,83%,"The college offers the following degrees: Bachelor's, Master's, and Doctoral",Suburban,"5,519",,"Club, Intercollegiate, Intramural and NCAA Division II",,Coed HousingFraternity/Sorority HousingLiving Learning CommunitiesMen's HousingSpecial Housing For Disabled StudentsWomen's Housing,Campus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision StationYearbook,"Total Undergrad Students5,519Total Graduate Students2,170Full-Time Students5,401Part-Time Students1,387Race and EthnicityBlack or African American4%Asian2%Hispanic or Latino34%Multiracial2%Native American1%Pacific IslanderLess than 1%Unknown4%White51%International (Non-Citizen)2%Student Primary ResidenceOut-of-State15%"
College Of Coastal Georgia,https://bigfuture.collegeboard.org/colleges/college-of-coastal-georgia,97%,Not available,805–1018*,Not available*,Required,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,,Online through college's own website,23%,18,,58%,"The college offers the following degrees: Associate, Bachelor's, and Certificate",Urban,"2,750",,"Club, Intercollegiate and Intramural",,Coed Housing,Campus MinistriesDanceDrama/TheaterInternational Student OrganizationLiterary MagazineMusical TheaterPep BandStudent Government,"Total Undergrad Students2,750Total Graduate StudentsNot availableFull-Time Students1,640Part-Time Students1,571Race and EthnicityBlack or African American20%Asian2%Hispanic or Latino7%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown3%White63%International (Non-Citizen)1%Student Primary ResidenceOut-of-State8%"
Bethany College Bethany Wv,https://bigfuture.collegeboard.org/colleges/bethany-college-bethany-wv,95%,Not available,870–1110*,Not available*,Required,Recommended,Considered if submitted,Required,,Online through college's own websiteCommon Application,43%,60,,65%,"The college offers the following degrees: Bachelor's, Certificate, and Master's",Rural,560,,"Club, Intercollegiate, Intramural and NCAA Division III",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingMen's HousingSpecial Housing For Disabled StudentsWomen's Housing,Campus MinistriesChoral GroupsConcert BandDanceFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesMusical TheaterOperaStudent GovernmentSymphony OrchestraYearbook,Total Undergrad Students560Total Graduate Students6Full-Time Students188Part-Time Students2Race and EthnicityBlack or African American22%Asian1%Hispanic or Latino5%Multiracial6%Native AmericanLess than 1%Pacific Islander1%Unknown7%White56%International (Non-Citizen)3%Student Primary ResidenceOut-of-State86%
Northwestern State University Of Louisiana,https://bigfuture.collegeboard.org/colleges/northwestern-state-university-of-louisiana,94%,Not available,920–1120*,Not available*,Recommended,Recommended,Recommended,Neither required nor recommended,,,44%,48,,70%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Suburban,"5,802",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Single StudentsCoed HousingSpecial Housing For Disabled StudentsSpecial Housing For International Students,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision StationYearbook,"Total Undergrad Students5,802Total Graduate Students987Full-Time Students4,326Part-Time Students3,332Race and EthnicityBlack or African American30%Asian1%Hispanic or Latino6%Multiracial5%Native American1%Pacific IslanderLess than 1%Unknown2%White53%International (Non-Citizen)2%Student Primary ResidenceOut-of-StateLess than 1%"
West Virginia University,https://bigfuture.collegeboard.org/colleges/west-virginia-university,90%,Not available,1030–1230*,Not available*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Online through college's own website,63%,156,,81%,"The college offers the following degrees: Bachelor's, Master's, and Doctoral",Suburban,Not available,,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IA",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingMen's HousingSpecial Housing For Disabled StudentsSpecial Housing For International StudentsTheme HousingWellness Housing (alcohol/drug/smoke-free)Women's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaRadio StationStudent GovernmentSymphony OrchestraTelevision StationYearbook,"Total Undergrad StudentsNot availableTotal Graduate Students5,774Full-Time Students19,366Part-Time Students906Race and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-State54%"
Indiana University Southeast,https://bigfuture.collegeboard.org/colleges/indiana-university-southeast,83%,Not available,980–1190*,Not available*,Required,Neither required nor recommended,Considered if submitted,Neither required nor recommended,,Online through college's own websiteCommon Application,39%,76,,70%,"The college offers the following degrees: Certificate, Associate, Bachelor's, and Master's",Suburban,"3,088",,"Club, Intercollegiate and Intramural",,Apartments For Single Students,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceInternational Student OrganizationLiterary MagazineModel UNMusic EnsemblesMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students3,088Total Graduate Students466Full-Time Students2,278Part-Time Students994Race and EthnicityBlack or African American6%Asian2%Hispanic or Latino6%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White80%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State19%"
New Jersey City University,https://bigfuture.collegeboard.org/colleges/new-jersey-city-university,95%,Not available,890–1140*,Not available*,Required,Required,Recommended,Recommended,,Online through college's own website,39%,39,,73%,"The college offers the following degrees: Bachelor's, Master's, Certificate, and Doctoral",Urban,"5,962",,"Intercollegiate, Intramural and NCAA Division III",,Coed Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterNaval ROTCOperaRadio StationStudent Newspaper,"Total Undergrad Students5,962Total Graduate Students1,812Full-Time Students4,933Part-Time Students1,029Race and EthnicityBlack or African American24%Asian8%Hispanic or Latino39%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown5%White19%International (Non-Citizen)1%Student Primary ResidenceOut-of-StateNot Reported"
South Dakota State University,https://bigfuture.collegeboard.org/colleges/south-dakota-state-university,99%,Not available,980–1220*,Not available*,Required,Required,Recommended,Considered but not required,,Online through college's own website,59%,116,,83%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Rural,"8,805",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsTheme HousingWellness Housing (alcohol/drug/smoke-free),Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandMarching BandMusic EnsemblesPep BandRadio StationStudent GovernmentStudent Newspaper,"Total Undergrad Students8,805Total Graduate Students1,321Full-Time Students7,691Part-Time Students2,469Race and EthnicityBlack or African American1%Asian1%Hispanic or Latino3%Multiracial2%Native American1%Pacific IslanderLess than 1%Unknown3%White86%International (Non-Citizen)3%Student Primary ResidenceOut-of-State47%"
Rutgers The State University Of New Jersey Camden Campus,https://bigfuture.collegeboard.org/colleges/rutgers-the-state-university-of-new-jersey-camden-campus,78%,Not available,1040–1230*,Not available*,Required,Recommended,Considered if submitted,Neither required nor recommended,,Online through college's own websiteCoalition Application,71%,41,,82%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Urban,"3,819",,"Club, Intercollegiate, Intramural and NCAA Division III",,Apartments For Single StudentsCoed HousingFraternity/Sorority HousingSpecial Housing For Disabled StudentsTheme Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMusical TheaterRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students3,819Total Graduate Students1,854Full-Time Students3,318Part-Time Students601Race and EthnicityBlack or African American19%Asian13%Hispanic or Latino23%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White38%International (Non-Citizen)2%Student Primary ResidenceOut-of-State9%"
Illinois Central College,https://bigfuture.collegeboard.org/colleges/illinois-central-college,100%,Not available,850–1100*,17–22*,Not available,Not available,Not available,Not available,,Online through college's own website,Not available,59,,68%,The college offers the following degrees: Certificate and Associate,Suburban,"6,307",,Intercollegiate and Intramural,,Apartments For Married StudentsApartments For Single Students,Campus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationLiterary MagazineMusical TheaterOperaStudent GovernmentSymphony Orchestra,"Total Undergrad Students6,307Total Graduate StudentsNot availableFull-Time Students2,717Part-Time Students3,590Race and EthnicityBlack or African American13%Asian2%Hispanic or Latino5%Multiracial5%Native AmericanLess than 1%Pacific IslanderLess than 1%UnknownLess than 1%White74%International (Non-Citizen)1%Student Primary ResidenceOut-of-State3%"
Portland State University,https://bigfuture.collegeboard.org/colleges/portland-state-university,91%,Not available,1000–1250*,Not available*,Required,Neither required nor recommended,Neither required nor recommended,Considered but not required,,Online through college's own websiteCommon Application,54%,126,,74%,"The college offers the following degrees: Certificate, Bachelor's, Master's, and Doctoral",Urban,"13,619",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingGender Neutral HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsSpecial Housing For International StudentsTheme Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMusic EnsemblesMusical TheaterOperaRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision Station,"Total Undergrad Students13,619Total Graduate Students4,559Full-Time Students10,254Part-Time Students5,480Race and EthnicityBlack or African American5%Asian10%Hispanic or Latino23%Multiracial7%Native American2%Pacific Islander1%Unknown2%White48%International (Non-Citizen)2%Student Primary ResidenceOut-of-State20%"
University Of North Carolina At Asheville,https://bigfuture.collegeboard.org/colleges/university-of-north-carolina-at-asheville,94%,Not available,1130–1330*,Not available*,Required,Required,Required,Required,,Common ApplicationOther,65%,38,,73%,The college offers the following degrees: Bachelor's and Master's,Urban,"2,790",,"Club, Intercollegiate, Intramural and NCAA Division I",,Apartments For Single StudentsCoed HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsTheme HousingWellness Housing (alcohol/drug/smoke-free),Campus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineModel UNMusic EnsemblesMusical TheaterPep BandRadio StationStudent GovernmentStudent Newspaper,"Total Undergrad Students2,790Total Graduate Students18Full-Time Students2,511Part-Time Students380Race and EthnicityBlack or African American5%Asian1%Hispanic or Latino10%Multiracial5%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown3%White74%International (Non-Citizen)2%Student Primary ResidenceOut-of-State18%"
Madonna University,https://bigfuture.collegeboard.org/colleges/madonna-university,93%,Not available,890–1140*,Not available*,Required,Considered but not required,Considered if submitted,Considered but not required,,Online through college's own websiteCommon ApplicationOther,63%,100,,72%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Suburban,"1,633",, and ntercollegiate,,Men's HousingWellness Housing (alcohol/drug/smoke-free)Women's Housing,Army ROTCCampus MinistriesChoral GroupsDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMusic EnsemblesMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperTelevision Station,"Total Undergrad Students1,633Total Graduate Students314Full-Time Students1,308Part-Time Students432Race and EthnicityBlack or African American14%Asian3%Hispanic or Latino5%Multiracial2%Native American1%Pacific IslanderLess than 1%Unknown2%White63%International (Non-Citizen)10%Student Primary ResidenceOut-of-State13%"
University Of Texas Of The Permian Basin,https://bigfuture.collegeboard.org/colleges/university-of-texas-of-the-permian-basin,84%,Not available,920–1140*,Not available*,Required,Considered but not required,Considered if submitted,Considered but not required,,Other,42%,41,,61%,"The college offers the following degrees: Bachelor's, Certificate, and Master's",Urban,"4,122",,"Club, Intercollegiate, Intramural and NCAA Division II",,Apartments For Married StudentsApartments For Single StudentsCoed HousingSpecial Housing For Disabled Students,Campus MinistriesChoral GroupsConcert BandDanceInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesOperaPep BandStudent GovernmentSymphony Orchestra,"Total Undergrad Students4,122Total Graduate Students1,245Full-Time Students3,196Part-Time Students1,451Race and EthnicityBlack or African American8%Asian2%Hispanic or Latino54%Multiracial2%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White26%International (Non-Citizen)7%Student Primary ResidenceOut-of-State2%"
Iowa State University,https://bigfuture.collegeboard.org/colleges/iowa-state-university,89%,Not available,1083–1330*,Not available*,Required,Considered but not required,Considered if submitted,Considered but not required,,Online through college's own websiteCommon Application,76%,231,,85%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Urban,"25,033",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IA",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingLiving Learning CommunitiesMen's HousingSpecial Housing For Disabled StudentsSpecial Housing For International StudentsTheme HousingWomen's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterNaval ROTCPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision Station,"Total Undergrad Students25,033Total Graduate Students4,845Full-Time Students24,038Part-Time Students1,221Race and EthnicityBlack or African American3%Asian4%Hispanic or Latino7%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White77%International (Non-Citizen)3%Student Primary ResidenceOut-of-State45%"
Emmaus Bible College,https://bigfuture.collegeboard.org/colleges/emmaus-bible-college,99%,Not available,1110–1250*,18–26*,Considered but not required,Neither required nor recommended,Recommended,Required,,,60%,17,,57%,"The college offers the following degrees: Certificate, Associate, and Bachelor's",Suburban,176,,Intercollegiate and Intramural,,Men's HousingWomen's Housing,Campus MinistriesChoral GroupsMusic EnsemblesStudent GovernmentYearbook,Total Undergrad Students176Total Graduate StudentsNot availableFull-Time Students160Part-Time Students32Race and EthnicityBlack or African American6%Asian2%Hispanic or Latino5%Multiracial5%Native American2%Pacific IslanderNot ReportedUnknown1%White75%International (Non-Citizen)4%Student Primary ResidenceOut-of-State58%
Indiana University South Bend,https://bigfuture.collegeboard.org/colleges/indiana-university-south-bend,86%,Not available,980–1190*,Not available*,Required,Neither required nor recommended,Considered if submitted,Considered but not required,,Online through college's own websiteCommon Application,38%,76,,66%,"The college offers the following degrees: Certificate, Associate, Bachelor's, and Master's",Suburban,"3,807",,Club and Intercollegiate,,Apartments For Single StudentsCoed HousingSpecial Housing For International Students,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMusic EnsemblesMusical TheaterStudent GovernmentStudent Newspaper,"Total Undergrad Students3,807Total Graduate Students528Full-Time Students2,985Part-Time Students924Race and EthnicityBlack or African American8%Asian2%Hispanic or Latino22%Multiracial6%Native AmericanLess than 1%Pacific IslanderLess than 1%UnknownLess than 1%White60%International (Non-Citizen)1%Student Primary ResidenceOut-of-State5%"
University Of Texas At San Antonio,https://bigfuture.collegeboard.org/colleges/university-of-texas-at-san-antonio,88%,Not available,1020–1220*,Not available*,Required,Required,Considered if submitted,Considered but not required,,Common ApplicationOther,51%,118,,79%,"The college offers the following degrees: Certificate, Bachelor's, Master's, and Doctoral",Suburban,"29,675",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IA",,Apartments For Single StudentsCoed HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsTheme Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaPep BandStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students29,675Total Graduate Students4,554Full-Time Students22,505Part-Time Students7,685Race and EthnicityBlack or African American8%Asian6%Hispanic or Latino61%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White19%International (Non-Citizen)1%Student Primary ResidenceOut-of-State2%"
